time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-08T17:56:25.272Z,-34.7412,-71.8923,42.21,4.8,mb,,86,0.251,0.82,us,us6000et99,2021-07-08T19:06:49.517Z,"49 km WSW of Santa Cruz, Chile",earthquake,4.2,4.6,0.064,79,reviewed,us,us
2021-07-08T13:23:25.567Z,34.6763,97.8974,10,5.1,mb,,62,10.474,0.77,us,us6000et6f,2021-07-08T13:41:57.040Z,"Southern Qinghai, China",earthquake,4.6,1.9,0.134,18,reviewed,us,us
2021-07-08T13:05:03.339Z,41.6245,81.0426,10,4.8,mb,,78,1.437,1.15,us,us6000et68,2021-07-08T13:53:58.040Z,"80 km NE of Aksu, China",earthquake,5.6,1.9,0.065,74,reviewed,us,us
2021-07-08T11:17:29.193Z,31.9754,143.665,23.23,5.2,mb,,94,3.445,0.65,us,us6000et5j,2021-07-08T11:42:50.709Z,"Izu Islands, Japan region",earthquake,7.9,5,0.033,299,reviewed,us,us
2021-07-08T10:34:58.919Z,-54.7281,144.0472,10,5.2,mb,,77,8.659,0.75,us,us6000et50,2021-07-08T12:19:38.702Z,"west of Macquarie Island",earthquake,10.6,1.8,0.092,39,reviewed,us,us
2021-07-08T10:30:38.999Z,-18.463,-71.2286,55.12,5.2,mww,,116,0.846,1.36,us,us6000et4x,2021-07-10T04:03:56.040Z,"91 km S of Pacocha, Peru",earthquake,6.9,5.6,0.063,24,reviewed,us,us
2021-07-08T10:09:21.072Z,5.3023,126.4931,54.73,5,mb,,85,1.977,1.28,us,us6000et4t,2021-07-08T10:57:42.355Z,"114 km E of Sarangani, Philippines",earthquake,7.8,6.5,0.052,119,reviewed,us,us
2021-07-08T08:20:55.917Z,36.6677,71.444,176.34,4.9,mb,,43,0.832,0.68,us,us6000et3i,2021-07-08T13:05:52.094Z,"8 km WSW of Ashk?sham, Afghanistan",earthquake,8.2,6.7,0.048,136,reviewed,us,us
2021-07-08T07:09:18.359Z,-55.9171,-26.4567,10,5,mww,,63,5.987,0.41,us,us6000et2w,2021-07-08T07:26:54.040Z,"South Sandwich Islands region",earthquake,10.7,1.9,0.089,12,reviewed,us,us
2021-07-08T06:19:40.876Z,5.4722,126.512,39.61,4.5,mb,,118,1.838,0.45,us,us6000et2q,2021-07-08T06:50:26.040Z,"105 km SSE of Pondaguitan, Philippines",earthquake,8.9,8.6,0.094,36,reviewed,us,us
2021-07-08T02:58:50.119Z,-7.6709,127.7675,163.43,4.9,mb,,57,3.197,0.87,us,us6000et1s,2021-07-09T04:30:42.040Z,"126 km NE of Lospalos, Timor Leste",earthquake,6.7,5.5,0.177,10,reviewed,us,us
2021-07-08T01:55:50.331Z,21.5872,143.1949,279.91,4.5,mb,,34,5.56,0.53,us,us6000et1e,2021-07-09T04:12:18.040Z,"Mariana Islands region",earthquake,11.2,5.8,0.044,148,reviewed,us,us
2021-07-07T23:07:24.986Z,-57.9284,-24.6212,10,5,mb,,88,10.641,0.67,us,us6000et0u,2021-07-07T23:25:08.040Z,"South Sandwich Islands region",earthquake,11.5,1.9,0.089,40,reviewed,us,us
2021-07-07T22:11:55.089Z,23.8544,121.6468,2.54,5.2,mww,,35,0.321,1.2,us,us6000et0h,2021-07-10T03:19:49.040Z,"14 km SSE of Hualien City, Taiwan",earthquake,3.6,4.1,0.098,10,reviewed,us,us
2021-07-07T18:39:23.833Z,-53.0124,21.7372,10,5,mb,,61,20.007,0.44,us,us6000esyt,2021-07-07T19:04:22.040Z,"south of Africa",earthquake,11.4,1.8,0.097,34,reviewed,us,us
2021-07-07T18:24:18.987Z,-55.8785,-26.4294,10,5.1,mb,,68,5.994,0.79,us,us6000esyn,2021-07-08T13:01:11.285Z,"South Sandwich Islands region",earthquake,9.4,1.9,0.082,52,reviewed,us,us
2021-07-07T17:28:14.692Z,-21.1475,-68.7161,118.49,4.7,mwr,,27,0.727,1.24,us,us6000esy6,2021-07-07T19:29:48.070Z,"146 km N of Calama, Chile",earthquake,5.3,5.6,0.08,15,reviewed,us,us
2021-07-07T16:24:35.964Z,33.6802,132.2584,55.01,4.5,mb,,79,1.349,0.92,us,us6000esxu,2021-07-07T22:23:55.121Z,"33 km NW of ?zu, Japan",earthquake,5.8,3,0.104,27,reviewed,us,us
2021-07-07T15:43:17.781Z,-24.1016,179.6221,520.97,4.5,mb,,91,6.492,1.03,us,us6000esxt,2021-07-07T21:45:45.040Z,"south of the Fiji Islands",earthquake,12.3,6.5,0.049,123,reviewed,us,us
2021-07-07T12:30:47.808Z,-2.986,139.5815,105.55,5.1,mb,,52,7.323,0.61,us,us7000ejba,2021-07-07T12:47:10.040Z,"124 km WSW of Abepura, Indonesia",earthquake,8.9,6.8,0.064,79,reviewed,us,us
2021-07-07T11:24:58.317Z,23.863,121.6648,6.96,5.3,mb,,56,0.316,0.56,us,us7000ejb6,2021-07-08T07:14:39.132Z,"14 km SSE of Hualien City, Taiwan",earthquake,3.8,4.6,0.058,99,reviewed,us,us
2021-07-07T10:01:21.607Z,34.5376,98.8837,10,4.5,mb,,47,8.153,0.61,us,us7000ejax,2021-07-07T11:07:05.040Z,"Southern Qinghai, China",earthquake,9.7,1.9,0.104,27,reviewed,us,us
2021-07-07T07:27:11.709Z,34.4732,98.9306,10,4.6,mb,,68,10.783,0.74,us,us7000eja7,2021-07-07T07:47:03.040Z,"Southern Qinghai, China",earthquake,10.9,1.9,0.074,54,reviewed,us,us
2021-07-07T06:43:49.022Z,19.642,101.1908,10,4.7,mb,,145,0.965,0.71,us,us7000eja4,2021-07-07T09:38:53.361Z,"51 km NE of Chiang Klang, Thailand",earthquake,4.7,1.9,0.112,24,reviewed,us,us
2021-07-07T06:39:08.899Z,-23.1971,179.6395,536.17,5.7,mww,,33,5.624,1.59,us,us7000eja2,2021-07-08T06:57:48.298Z,"south of the Fiji Islands",earthquake,7.6,6.5,0.098,10,reviewed,us,us
2021-07-07T03:15:24.375Z,25.948,90.3689,10,5.3,mb,,17,1.393,0.63,us,us7000ej9c,2021-07-09T09:00:54.563Z,"11 km SE of Lakhipur, India",earthquake,2.4,1.7,0.033,300,reviewed,us,us
2021-07-07T02:03:32.800Z,-53.0756,21.61,10,4.7,mb,,120,20.693,0.62,us,us7000ej98,2021-07-07T02:24:31.040Z,"south of Africa",earthquake,14,1.9,0.106,27,reviewed,us,us
2021-07-07T01:24:18.525Z,-10.0723,161.1118,54.38,5.1,mb,,59,1.309,0.73,us,us7000ej8u,2021-07-07T01:44:13.040Z,"98 km WNW of Kirakira, Solomon Islands",earthquake,7.4,6.2,0.036,255,reviewed,us,us
2021-07-07T00:38:06.733Z,-9.3835,119.6768,88.02,4.9,mb,,41,1.956,1.28,us,us7000ej8g,2021-07-07T00:57:49.040Z,"71 km WNW of Waingapu, Indonesia",earthquake,7.5,6.6,0.073,59,reviewed,us,us
2021-07-06T22:17:57.734Z,12.3156,144.5835,10,5,mb,,56,1.296,0.79,us,us7000ej7z,2021-07-10T22:28:02.436Z,"105 km S of Merizo Village, Guam",earthquake,9.8,1.9,0.048,139,reviewed,us,us
2021-07-06T21:35:01.054Z,1.9937,127.6658,10,4.5,mb,,109,1.25,0.76,us,us7000ej7r,2021-07-06T22:03:18.040Z,"48 km NW of Tobelo, Indonesia",earthquake,7.8,1.9,0.099,30,reviewed,us,us
